day,b1,b3,b7
2014301,6888,13049,65533
2014302,6683,11188,65533
2014303,21308,65533,65533
2014304,17860,65533,65533
2014305,19434,65533,65533
2014306,6239,12774,65533
2014307,10396,18431,65533
2014308,6222,11621,65533
2014309,6824,11964,65533
2014310,5389,9489,65533
2014311,9092,19067,65533
2014312,7621,13549,65533
2014313,6150,11880,65533
2014315,9534,21768,65533
2014316,7418,12602,65533
2014317,4803,8140,65533
2014318,5643,9228,65533
2014319,14505,65533,65533
2014320,6268,11238,65533
2014321,7464,11568,65533
2014322,6028,12223,65533
2014323,12937,28334,65533
2014324,6979,14627,65533
2014325,6449,11252,65533
2014326,5567,10130,65533
2014327,6061,10972,65533
2014328,6456,10940,65533
2014329,6870,14778,65533
2014331,14137,65533,65533
2014332,7460,13408,65533
2014333,12746,31370,65533
2014334,9307,21314,65533
2014335,5324,8928,65533
2014336,5125,8839,31543
2014337,7420,11782,65533
2014338,5523,11293,65533
2014339,9188,17059,65533
2014340,4719,8228,65533
2014341,10249,23212,65533
2014342,6198,11815,65533
2014343,12627,31266,65533
2014344,7963,15766,65533
2014345,5480,10802,65533
2014347,5345,10685,65533
2014348,7022,11835,65533
2014349,4868,8740,65533
2014350,11741,28505,65533
2014351,5876,10489,65533
2014352,5450,9929,65533
2014353,8148,13560,65533
2014354,6823,14867,65533
2014355,9103,17138,65533
2014356,4547,7984,65533
2014357,6180,10662,65533
2014358,4967,8404,65533
2014359,5165,9185,65533
2014360,8699,17907,65533
2014361,6125,12554,65533
2014363,5427,11032,65533
2014364,17578,65533,65533
2014365,4837,8534,65533
