fileId,fileUrls from query MYD021KM--6 2017-10-23..2017-11-06 2014-02-08..2014-12-31 x116.38y39.97 x116.38y39.97[5],size
1198956387,/archive/allData/6/MYD021KM/2014/039/MYD021KM.A2014039.0540.006.2014039165041.hdf,143812255
1199727466,/archive/allData/6/MYD021KM/2014/040/MYD021KM.A2014040.0440.006.2014040155854.hdf,144377920
1199728232,/archive/allData/6/MYD021KM/2014/040/MYD021KM.A2014040.0445.006.2014040160245.hdf,144088821
1199812033,/archive/allData/6/MYD021KM/2014/040/MYD021KM.A2014040.0620.006.2014040193245.hdf,144864709
1200686195,/archive/allData/6/MYD021KM/2014/041/MYD021KM.A2014041.0350.006.2014041174345.hdf,140765564
1200686198,/archive/allData/6/MYD021KM/2014/041/MYD021KM.A2014041.0525.006.2014041174345.hdf,143005648
1201394229,/archive/allData/6/MYD021KM/2014/042/MYD021KM.A2014042.0430.006.2014042181807.hdf,149620567
1201439926,/archive/allData/6/MYD021KM/2014/042/MYD021KM.A2014042.0610.006.2014042194848.hdf,144744492
1201924928,/archive/allData/6/MYD021KM/2014/043/MYD021KM.A2014043.0515.006.2014043165234.hdf,143485387
1202600937,/archive/allData/6/MYD021KM/2014/044/MYD021KM.A2014044.0555.006.2014044192855.hdf,142513641
1202605883,/archive/allData/6/MYD021KM/2014/044/MYD021KM.A2014044.0420.006.2014044193847.hdf,145403520
1202609243,/archive/allData/6/MYD021KM/2014/044/MYD021KM.A2014044.0600.006.2014044194756.hdf,142166715
1203110706,/archive/allData/6/MYD021KM/2014/045/MYD021KM.A2014045.0500.006.2014045172039.hdf,145505969
1203483874,/archive/allData/6/MYD021KM/2014/046/MYD021KM.A2014046.0545.006.2014046184733.hdf,145101374
1203634531,/archive/allData/6/MYD021KM/2014/047/MYD021KM.A2014047.0450.006.2014047174920.hdf,144403208
1203784468,/archive/allData/6/MYD021KM/2014/048/MYD021KM.A2014048.0535.006.2014048184245.hdf,141994218
1203785540,/archive/allData/6/MYD021KM/2014/048/MYD021KM.A2014048.0355.006.2014048184504.hdf,145617975
1203786197,/archive/allData/6/MYD021KM/2014/048/MYD021KM.A2014048.0530.006.2014048184900.hdf,134658827
1204075774,/archive/allData/6/MYD021KM/2014/049/MYD021KM.A2014049.0435.006.2014049180824.hdf,139349660
1204119879,/archive/allData/6/MYD021KM/2014/049/MYD021KM.A2014049.0615.006.2014049195447.hdf,147106876
1204753663,/archive/allData/6/MYD021KM/2014/050/MYD021KM.A2014050.0520.006.2014050202008.hdf,145238276
1205502218,/archive/allData/6/MYD021KM/2014/051/MYD021KM.A2014051.0425.006.2014051175216.hdf,146635320
1205564238,/archive/allData/6/MYD021KM/2014/051/MYD021KM.A2014051.0605.006.2014051192300.hdf,147308169
1206404835,/archive/allData/6/MYD021KM/2014/052/MYD021KM.A2014052.0510.006.2014052083954.hdf,142592332
1206405905,/archive/allData/6/MYD021KM/2014/052/MYD021KM.A2014052.0505.006.2014052175225.hdf,154400105
1207020354,/archive/allData/6/MYD021KM/2014/053/MYD021KM.A2014053.0550.006.2014053225440.hdf,144735898
1207021280,/archive/allData/6/MYD021KM/2014/053/MYD021KM.A2014053.0415.006.2014053225509.hdf,141973896
1207325882,/archive/allData/6/MYD021KM/2014/054/MYD021KM.A2014054.0455.006.2014054173938.hdf,145150310
1207668233,/archive/allData/6/MYD021KM/2014/055/MYD021KM.A2014055.0540.006.2014055191550.hdf,144760552
1208326261,/archive/allData/6/MYD021KM/2014/056/MYD021KM.A2014056.0445.006.2014056163321.hdf,142249204
1208326458,/archive/allData/6/MYD021KM/2014/056/MYD021KM.A2014056.0440.006.2014056163133.hdf,149939767
1208468298,/archive/allData/6/MYD021KM/2014/056/MYD021KM.A2014056.0620.006.2014056194753.hdf,151765185
1209211581,/archive/allData/6/MYD021KM/2014/057/MYD021KM.A2014057.0350.006.2014057173511.hdf,138949325
1209215842,/archive/allData/6/MYD021KM/2014/057/MYD021KM.A2014057.0525.006.2014057173721.hdf,140171048
1211407766,/archive/allData/6/MYD021KM/2014/058/MYD021KM.A2014058.0430.006.2014058110740.hdf,148785187
1211461519,/archive/allData/6/MYD021KM/2014/058/MYD021KM.A2014058.0610.006.2014058201744.hdf,147123227
1213252807,/archive/allData/6/MYD021KM/2014/059/MYD021KM.A2014059.0515.006.2014059180838.hdf,145251434
1214998499,/archive/allData/6/MYD021KM/2014/060/MYD021KM.A2014060.0420.006.2014060181849.hdf,143588177
1215001043,/archive/allData/6/MYD021KM/2014/060/MYD021KM.A2014060.0555.006.2014060182041.hdf,141792832
1215123627,/archive/allData/6/MYD021KM/2014/060/MYD021KM.A2014060.0600.006.2014060193735.hdf,145534184
1216719321,/archive/allData/6/MYD021KM/2014/061/MYD021KM.A2014061.0500.006.2014061180625.hdf,148672898
